Dataframe,n_estimators,min_samples_split,min_samples_leaf,max_depth,Balanced accuracy score,Precision score,Recall score,F1 Binary
100ReposRegular,9,5,1,None,0.606,0.918,0.211,0.344
Dataframe,n_estimators,min_samples_split,min_samples_leaf,max_depth,Balanced accuracy score,Precision score,Recall score,F1 Binary
100ReposRegular,100,5,1,None,0.607,0.921,0.214,0.348
Average of 5:
CombinationRegular,9,5,1,None,0.621,0.926,0.242,0.383
CombinationRegular,9,5,1,None,0.62,0.902,0.242,0.381
CombinationRegular,16,5,1,None,0.621,0.922,0.243,0.384
CombinationRegular,16,5,1,None,0.618,0.923,0.237,0.377
CombinationRegular,16,5,1,None,0.621,0.923,0.242,0.384
Average of 10:
CombinationRegular,16,5,1,None,0.622,0.925,0.245,0.387
CombinationRegular,16,5,1,None,0.619,0.917,0.239,0.379
CombinationRegular,16,5,1,None,0.618,0.925,0.236,0.376
Repo,n_estimators,min_samples_split,min_samples_leaf,max_depth,class_weight,BalAcc,Prec,Rec,F1
combination,16,5,1,None,"{False: 1, True: 4}",0.657,0.552,0.321,0.405
combination,16,5,1,None,"{False: 1, True: 4}",0.656,0.543,0.319,0.402
combination,16,5,1,None,"{False: 1, True: 4}",0.659,0.539,0.327,0.407
combination,16,5,1,None,"{False: 1, True: 4}",0.656,0.548,0.32,0.404
combination,16,5,1,None,"{False: 1, True: 4.5}",0.659,0.517,0.326,0.4
combination,16,5,1,None,"{False: 1, True: 4.5}",0.658,0.526,0.325,0.401
combination,200,5,1,None,"{False: 1, True: 4}",0.657,0.549,0.322,0.405
combination,200,5,1,None,"{False: 1, True: 4}",0.657,0.535,0.322,0.402
combination,100,5,1,None,"{False: 1, True: 4}",0.655,0.543,0.318,0.401
combination,9,5,1,None,"{False: 1, True: 4}",0.66,0.542,0.328,0.409
combination,9,5,1,None,"{False: 1, True: 4}",0.655,0.547,0.317,0.401
combination,9,5,1,None,"{False: 1, True: 4}",0.656,0.542,0.319,0.401
combination,9,5,1,None,"{False: 1, True: 4.5}",0.659,0.51,0.326,0.398
combination,9,5,1,None,"{False: 1, True: 4.5}",0.657,0.509,0.323,0.395
combination,9,5,1,None,"{False: 1, True: 3.5}",0.649,0.578,0.305,0.399
combination,9,5,1,None,"{False: 1, True: 3.5}",0.646,0.607,0.298,0.398
combination,9,5,1,None,"{False: 1, True: 4}",0.654,0.548,0.315,0.4
100repos_expanded,100,5,1,None,"{False: 1, True: 3}",0.615,0.785,0.23,0.356
174repos_min5_max1000000_expanded,9,5,1,None,"{False: 1, True: 3}",0.606,0.799,0.213,0.336
300repos_min5_max1000000_expanded,9,5,1,None,"{False: 1, True: 3}",0.605,0.804,0.211,0.334
174repos_min50_max1000000_expanded,9,5,1,None,"{False: 1, True: 3}",0.606,0.805,0.213,0.337
174repos_min100_max1000000_expanded,9,5,1,None,"{False: 1, True: 3}",0.606,0.798,0.213,0.337
174repos_min200_max1000000_expanded,9,5,1,None,"{False: 1, True: 3}",0.61,0.791,0.221,0.346
174repos_min200_max1000000_expanded,100,5,1,None,"{False: 1, True: 4}",0.628,0.541,0.262,0.353
174repos_min50_max1000000_expanded,31,5,1,None,"{False: 1, True: 4}",0.627,0.545,0.259,0.351
174repos_min50_max1000000_expanded,9,5,1,None,"{False: 1, True: 4}",0.627,0.541,0.26,0.351
174repos_min5_max1000000_expanded,9,5,1,None,"{False: 1, True: 4}",0.626,0.538,0.258,0.349
174repos_min5_max1000000_expanded,31,5,1,None,"{False: 1, True: 4}",0.626,0.542,0.257,0.349
300repos_min5_max1000000_expanded,9,5,1,None,"{False: 1, True: 4}",0.627,0.534,0.258,0.348
300repos_min5_max1000000_expanded,31,5,1,None,"{False: 1, True: 4}",0.627,0.542,0.26,0.351
